,"Прізвище, ім`я та по батькові кандидата в депутати",Передвиборна програма,Основні відомості,Округ,Наявність(відсутність) заборгованості зі сплати аліментів,Дата та підстава скасування реєстрації кандидата,Дата реєстрації кандидатом,Висування,Область
407,ЗубрійДмитро Олександрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16982pd410f01=27.doc,"народився 12 липня 1987 року в селі Інгулець Широківського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, фермерське господарство ""Овен"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в селі Інгулець Широківського району Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №37,-, ,18.06.2019,Самовисування,Дніпропетровська область
408,КарапишЮлія Миколаївна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15285pd410f01=27.doc,"народилася 3 червня 1981 року в смт Широке Широківського району Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, головний спеціаліст управління фінансів та бухгалтерської звітності, департамент розвитку інфраструктури міста виконавчого комітету Криворізької міської ради Дніпропетровської області, безпартійнa, проживає в місті Кривий Ріг Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №37,-, ,11.06.2019,Самовисування,Дніпропетровська область
409,КравченкоАнтон Володимирович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15436pd410f01=27.doc,"народився 11 серпня 1994 року в смт Софіївка Дніпропетровскої області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник проекту, Громадська організація ""Громадський рух ""СЛУГА НАРОДУ"", безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Одномандатний виборчий округ №37,-, ,15.06.2019,Самовисування,Дніпропетровська область
410,КравченкоРоман Михайлович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16133pd410f01=27.doc,"народився 29 квiтня 1986 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, головний менеджер, ТОВ ""Кінг Клімат"", безпартійний, проживає в селі Шпитьки Києво-Святошинського району Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №37,-, ,18.06.2019,Самовисування,Дніпропетровська область
411,МиргородГеннадій Миколайович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19546pd410f01=27.doc,"народився 20 березня 1968 року в місті Кременчук Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, заступник директора з безпеки підприємства, об’єднання громадян ""Добробуд"" Дніпропетровської обласної організації ""Управлiння соцiального захисту ветеранів та інвалiдiв МВС України"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Кам’янське Дніпропетровської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",Одномандатний виборчий округ №37,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Дніпропетровська область
412,ПриходькоПавло Олександрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15345pd410f01=27.doc,"народився 19 лютого 1986 року в місті Кривий Ріг Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, керівник проекту, ПП ""ЗЕ! СЛУГА НАРОДА"", безпартійний, проживає в місті Кривий Ріг Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №37,-, ,13.06.2019,Самовисування,Дніпропетровська область
413,РябоволОлександр Олександрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15347pd410f01=27.doc,"народився 19 вересня 1975 року в селі Веселе Нікопольського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник проекту, Громадська організація ""СЛУГА ДЛЯ НАРОДУ"", безпартійний, проживає в місті Зеленодольськ Апостолівського району Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №37,-, ,15.06.2019,Самовисування,Дніпропетровська область
414,СинявськийАндрій Вікторович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17279pd410f01=27.doc,"народився 13 жовтня 1979 року в місті Апостолове Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, ТОВ ""СПП ТРЕЙД"", член Патріотичної партії України (ППУ), проживає в місті Кривий Ріг Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №37,-, ,20.06.2019,Самовисування,Дніпропетровська область
415,СущикДмитро Феліксович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17724pd410f01=27.doc,"народився 8 вересня 1985 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",Одномандатний виборчий округ №37,-, ,21.06.2019,Самовисування,Дніпропетровська область
416,ТовкунАльона Вікторівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15146pd410f01=27.doc,"народилася 17 березня 1991 року в місті Кривий Ріг Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, адвокат, керівник, приватне підприємство ""ЗЕ! СЛУГА НАРОДА"", безпартійнa, проживає в місті Кривий Ріг Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №37,-, ,04.06.2019,Самовисування,Дніпропетровська область
417,ФартушнийІгор Іванович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21141pd410f01=27.doc,"народився 10 серпня 1977 року в смт Золочів Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Криворізький старт"", член ПОЛІТИЧНОЇ ПАРТІЇ ""СЛУГА НАРОДУ"", проживає в селі Червоний ранок Широківського району Дніпропетровської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",Одномандатний виборчий округ №37,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Дніпропетровська область
418,ФартушнийМикола Миколайович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17722pd410f01=27.doc,"народився 21 травня 1976 року в селі Велика Костромка Апостолівського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, сторож, ДНЗ (ясла-садок) № 3 ""Дзвіночок"" Зеленодольської міської ради, безпартійний, проживає в селі Велика Костромка Апостолівського району Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №37,-, ,21.06.2019,Самовисування,Дніпропетровська область
419,ШпеновДмитро Юрійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15136pd410f01=27.doc,"народився 20 грудня 1978 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Кривий Ріг Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №37,-, ,03.06.2019,Самовисування,Дніпропетровська область
420,ЩербинаСергій Олександрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21567pd410f01=27.doc,"народився 18 грудня 1964 року в місті Апостолове Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Апостолове Апостолівського району Дніпропетровської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",Одномандатний виборчий округ №37,-, ,25.06.2019,"політична партія Всеукраїнське об’єднання ""Свобода""",Дніпропетровська область
421,АрутюновВолодимир Левонович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19382pd410f01=27.doc,"народився 17 листопада 1976 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Дніпрі, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",Одномандатний виборчий округ №38,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Дніпропетровська область
422,БестаєвОлімбег Павлович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17697pd410f01=27.doc,"народився 31 липня 1978 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник проектів, Громадська організація ""Слуга для народу"", безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,21.06.2019,Самовисування,Дніпропетровська область
423,БорисенкоЯна Анатоліївна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17728pd410f01=27.doc,"народилася 12 травня 1984 року в місті Нікополь Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, заступник керівника зі зв’язків з громадськістю, приватне підприємство ""Зе! Слуга народу"", безпартійнa, проживає в місті Дніпрі, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,21.06.2019,Самовисування,Дніпропетровська область
424,БородінВладислав Валерійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21131pd410f01=27.doc,"народився 18 червня 1971 року в місті Шостка Сумської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Дніпрі, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",Одномандатний виборчий округ №38,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Дніпропетровська область
425,БородінВолодимир Ігорович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20403pd410f01=27.doc,"народився 8 серпня 1989 року в селі Знаменівка Новомосковського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, керівник проектів, Громадська організація ""Громадський рух ""СЛУГА НАРОДУ"", безпартійний, проживає в селі Знаменівка Новомосковського району Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,24.06.2019,Самовисування,Дніпропетровська область
426,ГайворонськийАнатолій Іванович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15859pd410f01=27.doc,"народився 1 червня 1962 року в селі Спаське Новомосковського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, фермерське господарство ""Гайворонський А.І."", член Політичної партії ""РУХ НОВИХ СИЛ МИХАЙЛА СААКАШВІЛІ"", проживає в селі Спаське Новомосковського району Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,17.06.2019,Самовисування,Дніпропетровська область
427,ДєєвОлександр Петрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17456pd410f01=27.doc,"народився 11 березня 1971 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора по зовнішньо-економічній діяльності, ТОВ ""АРТ-ПРОМ"", безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,20.06.2019,Самовисування,Дніпропетровська область
428,ДядикОлег Олегович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15694pd410f01=27.doc,"народився 31 липня 1989 року в місті Кременчук Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник проектів, Громадська організація ""Громадський рух ""СЛУГА НАРОДУ"", безпартійний, проживає в місті Кременчук Полтавської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,15.06.2019,Самовисування,Дніпропетровська область
429,ЖаданІван Олегович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16143pd410f01=27.doc,"народився 13 сiчня 1993 року в місті Новомосковськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Новомосковський міський центр фізичного здоров’я населення ""Спорт для всіх"", безпартійний, проживає в місті Новомосковськ Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,17.06.2019,Самовисування,Дніпропетровська область
430,КамишевСергій Володимирович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15678pd410f01=27.doc,"народився 5 вересня 1986 року в селі Петрівка Генічеського району Херсонської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, начальник відділу безпеки, ТОВ ""Дніпровський хлібокомбінат № 11"", член ПОЛІТИЧНОЇ ПАРТІЇ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Кам’янське Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,15.06.2019,Самовисування,Дніпропетровська область
431,КостюкАндрій Васильович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16134pd410f01=27.doc,"народився 19 серпня 1970 року в місті Козятин Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник директора, ТОВ ""Агрофірма ""Родина"", безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,17.06.2019,Самовисування,Дніпропетровська область
432,КузнєцовВасиль Віталійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15175pd410f01=27.doc,"народився 18 травня 1970 року в місті Усть-Каменогорськ Східно-Казахстанської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Агроволодар"", член Аграрної партії України, проживає в місті Дніпрі, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,07.06.2019,Самовисування,Дніпропетровська область
433,КукураЮрій Сергійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16146pd410f01=27.doc,"народився 7 лютого 1992 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник охорони, ТОВ ""Дніпровський хлібокомбінат № 11"", член ПОЛІТИЧНОЇ ПАРТІЇ ""СИЛА І ЧЕСТЬ"", проживає в місті Кам’янське Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,17.06.2019,Самовисування,Дніпропетровська область
434,МельничукСергій Петрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17958pd410f01=27.doc,"народився 26 сiчня 1972 року в місті Черняхів Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,21.06.2019,Самовисування,Дніпропетровська область
435,НестеренкоВадим Григорович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17495pd410f01=27.doc,"народився 5 грудня 1970 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Миколаївка Новомосковського району Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,20.06.2019,Самовисування,Дніпропетровська область
436,НестеренкоВадим Миколайович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15778pd410f01=27.doc,"народився 2 серпня 1963 року в місті Баку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний інструктор з основної діяльності, Громадська організація  ССК ""Стархантер"", безпартійний, проживає в селі Чайки Києво-Святошинського району Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,15.06.2019,Самовисування,Дніпропетровська область
437,НємченкоЮрій Вікторович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21607pd410f01=27.doc,"народився 21 травня 1978 року в місті Новомосковськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, менеджер з оптової торгівлі, ТОВ ТД ""Український продукт"", член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Новомосковськ Дніпропетровської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",Одномандатний виборчий округ №38,-, ,25.06.2019,"політична партія Всеукраїнське об’єднання ""Свобода""",Дніпропетровська область
438,НіколаєвОлександр Іванович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17736pd410f01=27.doc,"народився 19 серпня 1955 року в місті Мала Виска Кіровоградської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в селі Чумаки Дніпровського району Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,21.06.2019,Самовисування,Дніпропетровська область
439,СкакуненкоВіталій Володимирович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19282pd410f01=27.doc,"народився 6 лютого 1984 року в місті Новомосковськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ТОВ ""ТД Перспектива-А"", безпартійний, проживає в місті Дніпрі, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",Одномандатний виборчий округ №38,-, ,24.06.2019,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область
440,ШиловаВікторія Віталіївна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17954pd410f01=27.doc,"народилася 4 травня 1972 року в місті Новомосковськ Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Новомосковськ Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,21.06.2019,Самовисування,Дніпропетровська область
441,ШкуратськийДенис Віталійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20413pd410f01=27.doc,"народився 7 грудня 1991 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, інспектор з безпеки відділу безпеки, ТОВ ""ДНІПРОВСЬКИЙ ХЛІБОКОМБІНАТ № 11"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Кам’янське Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №38,-, ,24.06.2019,Самовисування,Дніпропетровська область
442,АнтіповВалентин Миколайович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17897pd410f01=27.doc,"народився 18 вересня 1963 року в селі Миколаївка Петропавлівського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу моніторингу питань адаптації учасників бойових дій та внутрішньо переміщених осіб управління з питань гуманітарної, соціально-культурної сфери та освіти, виконавчий апарат Дніпропетровської обласної ради, безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Одномандатний виборчий округ №39,-, ,21.06.2019,Самовисування,Дніпропетровська область
443,БордюгКостянтин Дмитрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15255pd410f01=27.doc,"народився 24 лютого 1967 року в місті Кременчук Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, КП ""Дніпропетровське обласне клінічне лікувально-профілактичне об’єднання ""Фтизіатрія"" Дніпропетровської обласної ради"", безпартійний, проживає в смт Васильківка Васильківського району Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №39,-, ,11.06.2019,Самовисування,Дніпропетровська область
444,ГавриловМикола Васильович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15449pd410f01=27.doc,"народився 10 серпня 1966 року в селі Новопавлівка Межівського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник Новопавлівського сільського голови з питань діяльності виконавчих органів ради, виконавчий комітет Новопавлівської сільської ради, безпартійний, проживає в селі Новопавлівка Межівського району Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №39,-, ,14.06.2019,Самовисування,Дніпропетровська область
445,ГулієвФархад Давід огли,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20235pd410f01=27.doc,"народився 18 травня 1987 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу роботи з судовими та правоохоронними органами, Департамент будівництва та житлового забезпечення виконавчого органу Київської міської ради (Київської міської державної адміністрації), безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",Одномандатний виборчий округ №39,-, ,25.06.2019,Самовисування,Дніпропетровська область
446,ЗигалоІван Вікторович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15690pd410f01=27.doc,"народився 28 вересня 1983 року в місті Мелітополь Запорізької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ЗИГА І СИНИ"", безпартійний, проживає в місті Кам’янське Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №39,-, ,15.06.2019,Самовисування,Дніпропетровська область
447,КовальЮрій Костянтинович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17240pd410f01=27.doc,"народився 10 липня 1982 року в селі Дерезувате Сінельніковського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, директор, ТОВ ""Агрокомплекс Добробут"", безпартійний, проживає в селі Дерезувате Синельниківського району Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №39,-, ,20.06.2019,Самовисування,Дніпропетровська область
448,МанькоВалентин Миколайович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17585pd410f01=27.doc,"народився 29 сiчня 1981 року в селі Григорівка Васильківського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора з юридичних питань, ТОВ ""Охоронна фірма ""Альфа-Щит"", безпартійний, проживає в селі Журавлинка Васильківського району Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №39,-, ,20.06.2019,Самовисування,Дніпропетровська область
449,МелікянГарік Альбертович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17251pd410f01=27.doc,"народився 4 листопада 1960 року в місті Тбілісі, Грузія, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, приватне виробничо-комерційне підприємство ""Мелік"", безпартійний, проживає в місті Синельникове Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №39,-, ,20.06.2019,Самовисування,Дніпропетровська область
450,ПустоваМарія Іванівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19416pd410f01=27.doc,"народилася 1 сiчня 1958 року в селі Держанівка Носівського району Чернігівської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Дніпрі, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",Одномандатний виборчий округ №39,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Дніпропетровська область
451,СавінськаІлона Валеріївна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21411pd410f01=27.doc,"народилася 29 сiчня 1974 року в місті Кривий Ріг Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Петропавлівська районна державна адміністрація, безпартійнa, проживає в селищі Васильківка Васильківського району Дніпропетровської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",Одномандатний виборчий округ №39,-, ,25.06.2019,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",Дніпропетровська область
452,СеверинСергій Сергійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21144pd410f01=27.doc,"народився 20 червня 1980 року в смт Покровське Покровського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови – начальник управління економіки, бюджету та фінансів, виконавчий апарат Дніпропетровської обласної ради, безпартійний, проживає в місті Дніпрі, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",Одномандатний виборчий округ №39,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Дніпропетровська область
453,СиромятніковДмитро Юрійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19526pd410f01=27.doc,"народився 19 серпня 1979 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в селі  Вербове Синельниківського району Дніпропетровської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №39,-, ,23.06.2019,Самовисування,Дніпропетровська область
454,СмирнийСергій Олександрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15850pd410f01=27.doc,"народився 16 лютого 1984 року в селищі Петропавлівка Петропавлівського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""МАС.ТОРГ"", ТОВ ""ДОНСТРОЙКОНСАЛТИНГ"", ТОВ ""ЮРИДИЧНЕ БЮРО ""СМИРНИЙ ТА ПАРТНЕРИ"", безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Одномандатний виборчий округ №39,-, ,18.06.2019,Самовисування,Дніпропетровська область
