,index_p1,index_p2,sim_ratio
60,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16434pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20267pd410f01=27.doc,0.7351540171483011
61,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18949pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19043pd410f01=27.doc,0.8725969371130662
62,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17036pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19043pd410f01=27.doc,0.8785857238158773
63,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18938pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18919pd410f01=27.doc,0.9009497964721845
64,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15402pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15400pd410f01=27.doc,0.9001006542526422
65,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19105pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19043pd410f01=27.doc,0.86612641815235
66,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17351pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17647pd410f01=27.doc,0.8643911439114391
67,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20596pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15865pd410f01=27.doc,0.8487354085603113
68,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19283pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19276pd410f01=27.doc,0.8663077613279497
69,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19869pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16093pd410f01=27.doc,0.8373743347131875
70,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21376pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15809pd410f01=27.doc,0.9203655352480418
71,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15789pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15687pd410f01=27.doc,0.8381382424452936
72,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15282pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20616pd410f01=27.doc,0.9116619002224341
73,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17673pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17675pd410f01=27.doc,0.9821981424148607
